DATE,LEVEL,TEMPERATURE,CONDUCTIVITY
2019/04/23 16:30:00.0,0.570,20.80,0.0
2019/04/23 16:35:00.0,0.576,20.80,0.0
2019/04/23 16:40:00.0,0.564,20.80,0.0
2019/04/23 16:45:00.0,0.576,20.80,0.0
2019/04/23 16:50:00.0,0.576,20.80,0.0
2019/04/23 16:55:00.0,0.570,21.10,0.0
2019/04/23 17:00:00.0,0.570,21.10,0.0
2019/04/23 17:05:00.0,0.570,21.10,0.0
2019/04/23 17:10:00.0,0.570,21.10,0.0
2019/04/23 17:15:00.0,0.570,21.10,0.0
2019/04/23 17:20:00.0,0.582,21.00,0.0
2019/04/23 17:25:00.0,0.564,21.00,0.0
2019/04/23 17:30:00.0,0.582,21.00,0.0
2019/04/23 17:35:00.0,0.576,20.90,0.0
2019/04/23 17:40:00.0,0.570,20.90,0.0
2019/04/23 17:45:00.0,0.564,20.90,0.0
2019/04/23 17:50:00.0,0.570,20.90,0.0
2019/04/23 17:55:00.0,0.564,20.80,0.0
2019/04/23 18:00:00.0,0.582,20.80,0.0
2019/04/23 18:05:00.0,0.582,20.80,0.0
2019/04/23 18:10:00.0,0.576,20.80,0.0
2019/04/23 18:15:00.0,0.576,20.80,0.0
2019/04/23 18:20:00.0,0.576,20.80,0.0
2019/04/23 18:25:00.0,0.570,20.80,0.0
2019/04/23 18:30:00.0,0.570,20.70,0.0
2019/04/23 18:35:00.0,0.570,20.70,0.0
2019/04/23 18:40:00.0,0.576,20.70,0.0
2019/04/23 18:45:00.0,0.564,20.70,0.0
2019/04/23 18:50:00.0,0.564,20.70,0.0
2019/04/23 18:55:00.0,0.582,20.60,0.0
2019/04/23 19:00:00.0,0.576,20.60,0.0
2019/04/23 19:05:00.0,0.576,20.60,0.0
2019/04/23 19:10:00.0,0.576,20.60,0.0
2019/04/23 19:15:00.0,0.576,20.50,0.0
2019/04/23 19:20:00.0,0.570,20.50,0.0
2019/04/23 19:25:00.0,0.570,20.50,0.0
2019/04/23 19:30:00.0,0.576,20.50,0.0
2019/04/23 19:35:00.0,0.576,20.40,0.0
2019/04/23 19:40:00.0,0.564,20.40,0.0
2019/04/23 19:45:00.0,0.570,20.40,0.0
2019/04/23 19:50:00.0,0.582,20.40,0.0
2019/04/23 19:55:00.0,0.576,20.40,0.0
2019/04/23 20:00:00.0,0.570,20.30,0.0
2019/04/23 20:05:00.0,0.570,20.30,0.0
2019/04/23 20:10:00.0,0.582,20.30,0.0
2019/04/23 20:15:00.0,0.570,20.30,0.0
2019/04/23 20:20:00.0,0.576,20.20,0.0
2019/04/23 20:25:00.0,0.570,20.20,0.0
2019/04/23 20:30:00.0,0.576,20.20,0.0
2019/04/23 20:35:00.0,0.570,20.20,0.0
2019/04/23 20:40:00.0,0.588,20.20,0.0
2019/04/23 20:45:00.0,0.576,20.20,0.0
2019/04/23 20:50:00.0,0.570,20.10,0.0
2019/04/23 20:55:00.0,0.582,20.10,0.0
2019/04/23 21:00:00.0,0.570,20.10,0.0
2019/04/23 21:05:00.0,0.576,20.10,0.0
2019/04/23 21:10:00.0,0.582,20.10,0.0
2019/04/23 21:15:00.0,0.582,20.10,0.0
2019/04/23 21:20:00.0,0.582,20.10,0.0
2019/04/23 21:25:00.0,0.576,20.00,0.0
2019/04/23 21:30:00.0,0.588,20.00,0.0
2019/04/23 21:35:00.0,0.588,20.00,0.0
2019/04/23 21:40:00.0,0.570,20.00,0.0
2019/04/23 21:45:00.0,0.576,20.00,0.0
2019/04/23 21:50:00.0,0.570,20.00,0.0
2019/04/23 21:55:00.0,0.582,20.00,0.0
2019/04/23 22:00:00.0,0.570,20.00,0.0
2019/04/23 22:05:00.0,0.576,20.00,0.0
2019/04/23 22:10:00.0,0.576,19.90,0.0
2019/04/23 22:15:00.0,0.582,19.90,0.0
2019/04/23 22:20:00.0,0.576,19.90,0.0
2019/04/23 22:25:00.0,0.582,19.90,0.0
2019/04/23 22:30:00.0,0.570,19.90,0.0
2019/04/23 22:35:00.0,0.582,19.90,0.0
2019/04/23 22:40:00.0,0.576,19.90,0.0
2019/04/23 22:45:00.0,0.582,19.90,0.0
2019/04/23 22:50:00.0,0.582,19.90,0.0
2019/04/23 22:55:00.0,0.576,19.90,0.0
2019/04/23 23:00:00.0,0.576,19.90,0.0
2019/04/23 23:05:00.0,0.576,19.90,0.0
2019/04/23 23:10:00.0,0.576,19.80,0.0
2019/04/23 23:15:00.0,0.582,19.80,0.0
2019/04/23 23:20:00.0,0.576,19.80,0.0
2019/04/23 23:25:00.0,0.582,19.80,0.0
2019/04/23 23:30:00.0,0.576,19.80,0.0
2019/04/23 23:35:00.0,0.582,19.80,0.0
2019/04/23 23:40:00.0,0.558,19.80,0.0
2019/04/23 23:45:00.0,0.576,19.80,0.0
2019/04/23 23:50:00.0,0.576,19.80,0.0
2019/04/23 23:55:00.0,0.576,19.80,0.0
2019/04/24 00:00:00.0,0.588,19.80,0.0
2019/04/24 00:05:00.0,0.576,19.80,0.0
2019/04/24 00:10:00.0,0.570,19.80,0.0
2019/04/24 00:15:00.0,0.564,19.80,0.0
2019/04/24 00:20:00.0,0.576,19.80,0.0
2019/04/24 00:25:00.0,0.582,19.80,0.0
2019/04/24 00:30:00.0,0.576,19.80,0.0
2019/04/24 00:35:00.0,0.588,19.80,0.0
2019/04/24 00:40:00.0,0.582,19.80,0.0
2019/04/24 00:45:00.0,0.576,19.80,0.0
2019/04/24 00:50:00.0,0.570,19.80,0.0
2019/04/24 00:55:00.0,0.582,19.80,0.0
2019/04/24 01:00:00.0,0.576,19.80,0.0
2019/04/24 01:05:00.0,0.564,19.70,0.0
2019/04/24 01:10:00.0,0.564,19.70,0.0
2019/04/24 01:15:00.0,0.558,19.70,0.0
2019/04/24 01:20:00.0,0.570,19.70,0.0
2019/04/24 01:25:00.0,0.570,19.70,0.0
2019/04/24 01:30:00.0,0.576,19.70,0.0
2019/04/24 01:35:00.0,0.582,19.70,0.0
2019/04/24 01:40:00.0,0.570,19.70,0.0
2019/04/24 01:45:00.0,0.570,19.70,0.0
2019/04/24 01:50:00.0,0.576,19.70,0.0
2019/04/24 01:55:00.0,0.582,19.70,0.0
2019/04/24 02:00:00.0,0.576,19.70,0.0
2019/04/24 02:05:00.0,0.576,19.70,0.0
2019/04/24 02:10:00.0,0.576,19.70,0.0
2019/04/24 02:15:00.0,0.582,19.70,0.0
2019/04/24 02:20:00.0,0.576,19.70,0.0
2019/04/24 02:25:00.0,0.570,19.70,0.0
2019/04/24 02:30:00.0,0.576,19.70,0.0
2019/04/24 02:35:00.0,0.576,19.70,0.0
2019/04/24 02:40:00.0,0.570,19.70,0.0
2019/04/24 02:45:00.0,0.570,19.70,0.0
2019/04/24 02:50:00.0,0.576,19.70,0.0
2019/04/24 02:55:00.0,0.576,19.70,0.0
2019/04/24 03:00:00.0,0.582,19.70,0.0
2019/04/24 03:05:00.0,0.588,19.70,0.0
2019/04/24 03:10:00.0,0.570,19.70,0.0
2019/04/24 03:15:00.0,0.570,19.70,0.0
2019/04/24 03:20:00.0,0.570,19.70,0.0
2019/04/24 03:25:00.0,0.582,19.70,0.0
2019/04/24 03:30:00.0,0.564,19.70,0.0
2019/04/24 03:35:00.0,0.570,19.70,0.0
2019/04/24 03:40:00.0,0.576,19.70,0.0
2019/04/24 03:45:00.0,0.576,19.70,0.0
2019/04/24 03:50:00.0,0.576,19.70,0.0
2019/04/24 03:55:00.0,0.570,19.70,0.0
2019/04/24 04:00:00.0,0.564,19.70,0.0
2019/04/24 04:05:00.0,0.564,19.70,0.0
2019/04/24 04:10:00.0,0.570,19.70,0.0
2019/04/24 04:15:00.0,0.582,19.70,0.0
2019/04/24 04:20:00.0,0.576,19.70,0.0
2019/04/24 04:25:00.0,0.564,19.70,0.0
2019/04/24 04:30:00.0,0.570,19.70,0.0
2019/04/24 04:35:00.0,0.576,19.70,0.0
2019/04/24 04:40:00.0,0.576,19.70,0.0
2019/04/24 04:45:00.0,0.570,19.70,0.0
2019/04/24 04:50:00.0,0.558,19.70,0.0
2019/04/24 04:55:00.0,0.570,19.70,0.0
2019/04/24 05:00:00.0,0.576,19.60,0.0
2019/04/24 05:05:00.0,0.582,19.60,0.0
2019/04/24 05:10:00.0,0.570,19.60,0.0
2019/04/24 05:15:00.0,0.576,19.70,0.0
2019/04/24 05:20:00.0,0.564,19.60,0.0
2019/04/24 05:25:00.0,0.570,19.60,0.0
2019/04/24 05:30:00.0,0.570,19.60,0.0
2019/04/24 05:35:00.0,0.576,19.60,0.0
2019/04/24 05:40:00.0,0.558,19.60,0.0
2019/04/24 05:45:00.0,0.582,19.60,0.0
2019/04/24 05:50:00.0,0.582,19.60,0.0
2019/04/24 05:55:00.0,0.576,19.60,0.0
2019/04/24 06:00:00.0,0.570,19.60,0.0
2019/04/24 06:05:00.0,0.582,19.60,0.0
2019/04/24 06:10:00.0,0.576,19.60,0.0
2019/04/24 06:15:00.0,0.582,19.60,0.0
2019/04/24 06:20:00.0,0.570,19.60,0.0
2019/04/24 06:25:00.0,0.576,19.60,0.0
2019/04/24 06:30:00.0,0.570,19.60,0.0
2019/04/24 06:35:00.0,0.582,19.60,0.0
2019/04/24 06:40:00.0,0.570,19.60,0.0
2019/04/24 06:45:00.0,0.576,19.60,0.0
2019/04/24 06:50:00.0,0.582,19.60,0.0
2019/04/24 06:55:00.0,0.570,19.60,0.0
2019/04/24 07:00:00.0,0.570,19.60,0.0
2019/04/24 07:05:00.0,0.570,19.60,0.0
2019/04/24 07:10:00.0,0.576,19.60,0.0
2019/04/24 07:15:00.0,0.582,19.60,0.0
2019/04/24 07:20:00.0,0.582,19.50,0.0
2019/04/24 07:25:00.0,0.582,19.40,0.0
2019/04/24 07:30:00.0,0.576,19.30,0.0
2019/04/24 07:35:00.0,0.582,19.20,0.0
2019/04/24 07:40:00.0,0.582,19.10,0.0
2019/04/24 07:45:00.0,0.576,19.10,0.0
2019/04/24 07:50:00.0,0.588,19.10,0.0
2019/04/24 07:55:00.0,0.582,19.10,0.0
2019/04/24 08:00:00.0,0.576,19.10,0.0
2019/04/24 08:05:00.0,0.588,19.10,0.0
2019/04/24 08:10:00.0,0.576,19.10,0.0
2019/04/24 08:15:00.0,0.594,19.10,0.0
2019/04/24 08:20:00.0,0.582,19.20,0.0
2019/04/24 08:25:00.0,0.582,19.20,0.0
2019/04/24 08:30:00.0,0.576,19.20,0.0
2019/04/24 08:35:00.0,0.582,19.30,0.0
2019/04/24 08:40:00.0,0.576,19.30,0.0
2019/04/24 08:45:00.0,0.546,19.40,0.0
2019/04/24 08:50:00.0,0.462,19.40,0.0
